X,Y,Theta,FmPi_x,FmPi_y,Xi_x,Xi_y
0,0,4.47999795615942,0,0,0,0
-0.0108494837730298,-0.0994097012462001,4.60368015607999,-0.0108494837730298,-0.0994097012462001,-0,0
-0.0383713892667215,-0.195547855576291,4.43357143110285,-0.0275219054936917,-0.0961381543300905,0,-0
-0.0441126287093717,-0.295382910390029,4.65494499878962,-0.00574123944265022,-0.0998350548137384,-0,0
-0.0615568214755924,-0.393849656750082,4.53705000294799,-0.0174441927662206,-0.0984667463600526,-0,0
-0.100890495830314,-0.485789104550015,4.30813090907817,-0.0393336743547217,-0.0919394477999336,-0,-0
-0.147123129973797,-0.574460089320428,4.23177200524306,-0.0462326341434833,-0.088670984770413,-0,-0
-0.174336670255889,-0.670685986174212,4.43677748697002,-0.0272135402820917,-0.0962258968537835,0,0
-0.20442048433646,-0.766053507534294,4.4068175945405,-0.0300838140805706,-0.0953675213600818,0,0
-0.215900517586427,-0.865392366177725,4.59733497942335,-0.0114800332499674,-0.0993388586434314,-0,-0
-0.253651176377261,-0.957993056028601,4.32528681626535,-0.0377506587908335,-0.0926006898508757,-0,-0
-0.308249663184484,-1.04177255971752,4.13482476757271,-0.0545984868072232,-0.0837795036889183,-0,0
-0.377523487374634,-1.11389147042804,3.94710997398293,-0.0692738241901505,-0.0721189107105212,-0,0
-0.429782901293639,-1.19914962931528,4.16249816976583,-0.0522594139190052,-0.0852581588872413,-0,0
-0.465868421529107,-1.29241181473539,4.34320426218245,-0.0360855202354679,-0.0932621854201135,-0,0
-0.490525856471787,-1.38932420249902,4.46324511478974,-0.0246574349426801,-0.0969123877636265,0,0
-0.519889451640325,-1.48491593477111,4.41436072725978,-0.0293635951685371,-0.0955917322720865,-0,0
-0.537322865457031,-1.58338459010211,4.53715946980271,-0.0174334138167068,-0.0984686553310009,0,0
-0.532971612784986,-1.68328987825136,4.75591524948467,0.00435125267204498,-0.0999052881492467,-0,0
-0.529058930895412,-1.78321330353507,4.75152578942399,0.00391268188957484,-0.0999234252837191,0,0
-0.514661395976989,-1.88217143098438,4.8568664359312,0.0143975349184225,-0.0989581274493046,0,-0
-0.499663057630335,-1.98104028273679,4.86294044649846,0.0149983383466536,-0.0988688517524063,-0,0
-0.461081816997138,-2.0732980080025,5.1084772245019,0.0385812406331975,-0.0922577252657105,-0,-0
-0.429548255526396,-2.16819602958868,5.03319927194006,0.0315335614707423,-0.0948980215861791,-0,-0
-0.397450381133146,-2.26290466942388,5.03915171318942,0.0320978743932495,-0.0947086398352082,-0,0
-0.370118500703472,-2.35909702001466,4.989230504051,0.0273318804296739,-0.0961923505907721,0,0
-0.312962984173389,-2.44115338436368,5.32078882773297,0.0571555165300834,-0.0820563643490215,0,-0
-0.256375431445126,-2.52360245274062,5.31388374823873,0.0565875527282632,-0.0824490683769443,-0,-0
-0.20702001150549,-2.61057395682433,5.22856064210395,0.0493554199396359,-0.0869715040837066,-0,0
-0.166285792740784,-2.70190151795255,5.13193094980713,0.0407342187647056,-0.0913275611282219,0,0
-0.112486260289391,-2.78619630016362,5.28044610728197,0.0537995324513932,-0.0842947822110686,-0,-0
-0.048734711591691,-2.86324005421704,5.40365811842564,0.0637515486976999,-0.077043754053426,0,-0
0.0264873413311504,-2.92913119743124,5.56381460445588,0.0752220529228414,-0.0658911432141926,0,-0
0.117538830806796,-2.97047882450059,5.85691662227505,0.0910514894756453,-0.041347627069355,-0,0
0.211351063890024,-3.0051092291176,5.92955681826406,0.0938122330832287,-0.0346304046170121,-0,-0
0.309263384561494,-3.02543599621735,6.07849119148436,0.0979123206714695,-0.0203267670997462,-0,-0
0.408185950322746,-3.04007587269261,6.13625848245267,0.0989225657612523,-0.0146398764752547,-0,-0
0.50332201413464,-3.07088381586282,5.97001169588149,0.0951360638118935,-0.0308079431702172,0,0
0.598579597367566,-3.1013139462704,5.97398044455136,0.095257583232926,-0.0304301304075774,-0,-0
0.686684433585566,-3.14861656601814,5.79046291477178,0.0881048362180003,-0.0473026197477406,0,-0
0.780372340802018,-3.18358192089124,5.92598402200645,0.0936879072164524,-0.0349653548730942,-0,-0
0.873245869261391,-3.22065627471576,5.90337582206578,0.0928735284593729,-0.0370743538245248,0,-0
0.962577855612938,-3.26559841768299,5.81706773684468,0.0893319863515471,-0.0449421429672306,0,0
1.0413218282794,-3.32723758354937,5.61903323967679,0.0787439726664623,-0.0616391658663827,-0,-0
1.11810752925687,-3.39129971062457,5.58787821742862,0.0767857009774701,-0.0640621270751959,-0,0
1.17477932503722,-3.47369089682206,5.31490586562109,0.0566717957803537,-0.0823911861974926,0,0
1.23633977425069,-3.55249642386577,5.37554178547779,0.0615604492134689,-0.0788055270437037,0,0
1.31304531145736,-3.61665451425066,5.58662780993529,0.0767055372066709,-0.0641580903848924,-0,0
1.40127600846613,-3.66372195634545,5.79313030130705,0.0882306970087703,-0.0470674420947917,-0,-0
1.48800318678422,-3.71350545301837,5.76208469769046,0.0867271783180856,-0.0497834966729234,0,-0
1.57739405097908,-3.75833037241035,5.81837952834856,0.0893908641948556,-0.044824919391973,0,0
1.67348816322043,-3.78600566089206,6.00277194926264,0.0960941122413542,-0.0276752884817126,0,-0
1.77330045062794,-3.79212997983222,6.22190376858913,0.0998122874075094,-0.00612431894015585,0,-0
1.87256676334258,-3.78003869536618,6.40439472979385,0.0992663127146438,0.012091284466034,-0,0
1.97215986849541,-3.77102684727503,6.37342621652798,0.0995931051528271,0.00901184809114768,-0,0
2.07177612311503,-3.77977909359011,6.19555071742799,0.0996162546196166,-0.00875224631507308,0,-0
2.17112157186226,-3.79120195720705,6.16870678832043,0.0993454487472308,-0.0114228636169453,-0,0
2.26878542870079,-3.76971309806042,6.49976306213674,0.0976638568385273,0.0214888591466286,0,0
2.36685618360268,-3.75016502825874,6.47993288771557,0.0980707549018995,0.0195480698016852,-0,-0
2.46283170522733,-3.72208123847038,6.56785233791797,0.0959755216246488,0.028083789788356,0,0
2.56211499593899,-3.71013016381306,6.40298238967345,0.0992832907116554,0.0119510746573238,0,0
2.66185379698405,-3.70290717508995,6.35547814809282,0.0997388010450592,0.00722298872310429,0,0
2.76182638643651,-3.70056594503513,6.30659974710901,0.0999725894524613,0.00234123005482687,0,-0
2.86172623697758,-3.69609158900645,6.32794381026374,0.0998998505410727,0.00447435602867499,0,-0
2.95858425017759,-3.72096175746078,6.03184571483671,0.096858013200011,-0.0248701684543249,-0,0
3.04658960822832,-3.76844919742507,5.78836399994776,0.0880053580507304,-0.0474874399642974,-0,0
3.14251847536596,-3.79669193896496,5.99686170447627,0.0959288671376395,-0.0282427415398914,-0,0
3.23754235524572,-3.82784418210406,5.96639053796604,0.0950238798797582,-0.031152243139095,-0,-0
3.32996002524412,-3.8660407038314,5.89126349085067,0.0924176699983966,-0.0381965217273441,0,0
3.42381432424896,-3.90055693998643,5.93077353438953,0.093854299004843,-0.034516236155026,0,-0
3.49810488913146,-3.96749655433727,5.54978964835723,0.0742905648824974,-0.066939614350842,-0,0
3.55566772810054,-4.04926769576149,5.32576139443072,0.0575628389690777,-0.0817711414242215,-0,0
3.6157037745082,-4.12924064826255,5.35634074544819,0.0600360464076644,-0.0799729525010598,-0,0
3.66731655533105,-4.21489180619829,5.25471285407187,0.0516127808228455,-0.0856511579357391,0,0
3.70549819893765,-4.30731562397,5.10414981423191,0.0381816436066015,-0.0924238177717111,0,-0
3.73816992943582,-4.4018278349602,5.04521715833557,0.0326717304981745,-0.0945122109901925,-0,0
3.76442503937951,-4.49831964394855,4.97805408685277,0.0262551099436876,-0.0964918089883534,-0,0
3.78147189291258,-4.596855955959,4.88369412507131,0.0170468535330743,-0.0985363120104559,-0,0
3.8108970904105,-4.6924287436771,5.01106172891337,0.0294251974979184,-0.0955727877180973,0,0
3.83392188655057,-4.78974194300129,4.94472146314186,0.0230247961400684,-0.0973131993241836,-0,0
3.86955835549255,-4.88317663720717,5.0767632226064,0.0356364689419812,-0.0934346942058848,0,-0
3.92646843027016,-4.96540341744821,5.31780079666654,0.0569100747776052,-0.0822267802410345,-0,-0
3.9885715188675,-5.04378202668995,5.38244626376649,0.0621030885973439,-0.0783786092417469,-0,0
4.03234777863756,-5.13369108674813,5.16549762471298,0.0437762597700612,-0.0899090600581728,0,0
4.08983720285583,-5.2155138592693,5.3248638702611,0.0574894242182656,-0.0818227725211771,0,-0
4.14645682406674,-5.29794090879756,5.31427274917652,0.0566196212109096,-0.0824270495282533,-0,-0
4.20600467828223,-5.37827803009481,5.35025016521868,0.0595478542154989,-0.0803371212972539,-0,0
4.26666420183899,-5.45777911311805,5.36415987375306,0.0606595235567499,-0.07950108302324,-0,-0
4.34211200697127,-5.52341164088227,5.56724747682117,0.0754478051322839,-0.0656325277642186,0,0
4.43064541633723,-5.56990718288406,5.79960105047949,0.0885334093659569,-0.0464955420017865,0,-0
4.50855053927191,-5.63260321003516,5.60554008485438,0.07790512293468,-0.0626960271511073,0,0
4.57953298827713,-5.70304106869953,5.50163798852939,0.0709824490052221,-0.0704378586643649,0,0
4.65955271658549,-5.76301475527503,5.64001307563841,0.0800197283083609,-0.0599736865754984,-0,-0
4.74577970135412,-5.81365966713901,5.75212358368271,0.0862269847686272,-0.0506449118639862,-0,0
4.81257724092619,-5.88807800296505,5.44387386271873,0.0667975395720765,-0.0744183358260374,-0,0
4.87631553630118,-5.96513272185164,5.40348610734172,0.0637382953749866,-0.0770547188865871,0,-0
4.94241693080934,-6.04017008350619,5.43455819203832,0.0661013945081605,-0.0750373616545553,0,0
5.02665673556072,-6.09405565945607,5.71410710214569,0.0842398047513783,-0.0538855759498741,0,0
5.09478680669896,-6.16725602425501,5.46192706829454,0.0681300711382421,-0.0732003647989412,-0,-0
5.15976493058117,-6.24326815102928,5.41968558396194,0.0649781238822093,-0.0760121267742737,0,0
5.21348570113488,-6.32761314976137,5.27951202290972,0.0537207705537069,-0.0843449987320883,0,0
5.2365743768459,-6.42491121271182,4.9453779469231,0.0230886757110271,-0.0972980629504567,0,-0
5.26386091038335,-6.52111643651755,4.98875911670086,0.0272865335374501,-0.0962052238057249,-0,-0
5.28474699006337,-6.61891097458384,4.92279890043274,0.0208860796800208,-0.097794538066294,0,-0
5.32152604838211,-6.71190183902324,5.08902093103131,0.0367790583187348,-0.0929908644394013,-0,0
5.35770278127639,-6.80512868063603,5.08255190790032,0.0361767328942852,-0.0932268416127863,0,0
5.39983790105169,-6.89581843574388,5.1473236979153,0.0421351197752929,-0.0906897551078496,0,0
5.44736444229887,-6.98380268363565,5.20765464661181,0.0475265412471804,-0.0879842478917679,-0,0
5.5040054483748,-7.06621503969168,5.3145322121954,0.0566410060759312,-0.0824123560560328,-0,-0
5.55046282493589,-7.15476848210394,5.19554220067835,0.0464573765610864,-0.0885534424122598,-0,0
5.59539536723799,-7.24410529781991,5.1783990818722,0.0449325423021095,-0.0893368157159698,-0,-0
5.64055430661325,-7.33332788573632,5.1809348984937,0.0451589393752554,-0.0892225879164128,0,-0
5.69645140603729,-7.41624660663806,5.30553327932205,0.0558970994240348,-0.0829187209017335,-0,-0
5.74360131927254,-7.50443325915366,5.2033789411772,0.0471499132352525,-0.0881866525156056,0,0
5.79122537741682,-7.59236476139188,5.2087633237717,0.0476240581442867,-0.0879315022382172,0,0
5.84444566403139,-7.67702644748815,5.27358938764035,0.0532202866145624,-0.0846616860962728,0,-0
5.90505952301523,-7.75656235195328,5.36358561021388,0.060613858983847,-0.0795359044651301,-0,0
5.968926331912,-7.83351058598983,5.40515508172838,0.0638668088967667,-0.0769482340365514,-0,0
6.04734638254375,-7.89556133666147,5.61379560506164,0.0784200506317519,-0.0620507506716355,-0,-0
6.13089077514023,-7.9505189063465,5.70132903167323,0.0835443925964806,-0.0549575696850317,-0,0
6.21377455610198,-8.00646780136226,5.68941622165024,0.0828837809617504,-0.0559488950157605,-0,0
6.29246515557904,-8.06817509067188,5.61816782062611,0.0786905994770598,-0.0617072893096185,-0,0
6.36899595300917,-8.13254151860375,5.58390864520056,0.0765307974301267,-0.0643664279318723,0,0
6.44287637601937,-8.19993352922693,5.54368325906981,0.0738804230101978,-0.0673920106231757,-0,-0
6.51627441232159,-8.26785059826688,5.53655314384737,0.0733980363022226,-0.0679170690399521,-0,0
6.57938540621739,-8.34541993788947,5.39537225955214,0.0631109938957997,-0.0775693396225876,-0,0
6.6583214016525,-8.40681300447413,5.62215474058596,0.0789359954351077,-0.0613930665846613,-0,0
6.73088171170579,-8.47562435095834,5.52429942521268,0.0725603100532939,-0.068811346484209,0,0
6.80150180712409,-8.5464254958863,5.49650693007229,0.0706200954182979,-0.0708011449279636,-0,-0
6.88898269854336,-8.59487230833551,5.77743023242741,0.0874808914192762,-0.0484468124492088,-0,-0
6.98163999596235,-8.63248381236034,5.89758542365692,0.0926572974189828,-0.0376115040248347,-0,0
7.07280597642022,-8.67357838629847,5.85969410534127,0.0911659804578678,-0.0410945739381206,0,-0
7.1681802972099,-8.70364063727715,5.97784001857288,0.0953743207896887,-0.0300622509786867,-0,-0
7.26801452945042,-8.70939616270461,6.22559822911746,0.0998342322405193,-0.0057555254274535,0,-0
7.36600922441687,-8.68947030617514,6.48378656270516,0.0979946949664486,0.0199258565294619,0,-0
7.46592437525121,-8.69358887798475,6.24198793654921,0.099915150834341,-0.00411857180960597,-0,-0
7.56404623328394,-8.71287879701531,6.08906933053814,0.0981218580327253,-0.0192899190305639,0,-0
7.66389342410957,-8.70735263340671,6.33847510876548,0.0998471908256357,0.00552616360860761,-0,0
7.76365987269639,-8.70052213295841,6.35154353715716,0.0997664485868162,0.0068305004482948,0,0
7.85815214749283,-8.66779278826905,6.61662314462253,0.0944922747964355,0.0327293446893599,-0,0
7.95143226938606,-8.6317536587071,6.65187265110544,0.0932801218932345,0.0360391295619541,-0,0
8.04506668600699,-8.5966453117785,6.64191328735414,0.0936344166209272,0.0351083469285956,0,0
8.14458733025546,-8.58686567127545,6.38113827668239,0.0995206442484724,0.00977964050305503,-0,-0
8.2442661194898,-8.57885698993723,6.3633579800433,0.0996787892343348,0.00800868133821364,-0,-0
8.34358258437988,-8.59052917061338,6.16619682630759,0.0993164648900842,-0.0116721806761492,0,0
8.44356745939784,-8.59226835652724,6.26579257114949,0.0999848750179599,-0.00173918591385209,-0,0
8.54293693110244,-8.58105639447108,6.39554117232835,0.0993694717046003,0.0112119620561546,-0,0
8.64224426518402,-8.56930678181319,6.40095347284489,0.0993073340815745,0.0117496126578948,0,-0
8.73032569759489,-8.5219605964922,6.77640223951598,0.0880814324108735,0.0473461853209814,0,-0
8.82129305293236,-8.48042819633393,6.71148425467189,0.0909673553374685,0.0415324001582709,-0,-0
8.91344811073695,-8.44160236316795,6.68192621327923,0.0921550578045885,0.0388258331659857,-0,-0
9.00358379062804,-8.39829463625264,6.73108933628556,0.0901356798910913,0.0433077269153059,-0,0
9.08985784463544,-8.34772994891921,6.81331689686004,0.0862740540074008,0.0505646873334355,-0,0
9.1716475828133,-8.29019353671966,6.89623457831559,0.0817897381778656,0.0575364121995471,-0,0
9.25635569740559,-8.23704717915661,6.84351272472265,0.0847081145922863,0.053146357563055,-0,-0
9.34823496037974,-8.19757312393895,6.68897076201578,0.0918792629741532,0.039474055217654,0,-0
9.4475014054109,-8.18548292580669,6.4043837861714,0.0992664450311516,0.0120901981322622,-0,-0
9.54547023861247,-8.16543030201025,6.48508034681368,0.0979688332015769,0.0200526237964412,-0,-0
9.64215233505605,-8.13988480872326,6.54150352625918,0.0966820964435748,0.025545493286983,-0,0
9.73428765793837,-8.10101216696367,6.68243420064602,0.0921353228823236,0.0388726417595971,0,0
9.83018389639255,-8.07265883470202,6.57066194675121,0.0958962384541773,0.0283533322616509,-0,-0
9.93015540723288,-8.0702719915355,6.30705600574165,0.0999715108403311,0.00238684316651959,0,-0
10.028431838457,-8.0887582855352,6.09725291043524,0.0982764312241576,-0.0184862939997019,-0,0
10.1262969704561,-8.10931104541815,6.07618252233224,0.0978651319990608,-0.020552759882955,-0,0
10.2252191290536,-8.12395367286047,6.13623067309796,0.0989221585974832,-0.0146426274423135,-0,0
10.3230001749477,-8.14490282711206,6.0721303723694,0.0977810458940946,-0.0209491542515913,0,0
10.4194025501164,-8.17148443845963,6.01413491365891,0.0964023751686983,-0.0265816113475751,0,0
10.5140300231368,-8.20382081657716,5.95390320715507,0.0946274730204725,-0.032336378117528,0,0
10.6071591253341,-8.24024842045034,5.91032999623663,0.0931291021972118,-0.0364276038731796,-0,0
10.7045033313202,-8.26314177234417,6.05220334305334,0.0973442059861052,-0.0228933518938298,0,-0
10.8035842822074,-8.27666823423512,6.14750477613289,0.0990809508872048,-0.0135264618909494,0,-0
10.9035840736499,-8.27687246806737,6.2811429674373,0.0999997914424914,-0.000204233832247127,-0,0
11.0035813229438,-8.27761417802017,6.27576813964323,0.0999972492938976,-0.000741709952806676,0,-0
11.1033274595939,-8.28473514869606,6.21191528071544,0.099746136650164,-0.00712097067588505,-0,-0
11.2003644390393,-8.30889761173512,6.03914556578107,0.097036979445394,-0.0241624630390649,0,0
11.292487520422,-8.34779925535802,5.88362161816099,0.092123081382667,-0.0389016436228922,-0,-0
11.3871321928666,-8.38008525817427,5.95443551263468,0.094644672444617,-0.032286002816254,0,0
11.4809561817553,-8.41468380018136,5.92989643935942,0.0938239888886832,-0.0345985420070882,0,-0
11.5563741020833,-8.48035066620519,5.56679226064911,0.0754179203280506,-0.0656668660238313,0,0
11.6361840303898,-8.54060326236269,5.63652299369994,0.0798099283064543,-0.0602525961574987,-0,-0
11.7093985957516,-8.60871807293192,5.53385567572892,0.0732145653618037,-0.0681148105692306,0,0
11.7854954002501,-8.67359700899834,5.57719287162068,0.0760968044985459,-0.064878936066416,-0,-0
11.8615986923705,-8.73846833493244,5.57729287329574,0.0761032921203212,-0.0648713259341063,0,-0
11.938852751073,-8.80196487353091,5.59522159340226,0.0772540587025297,-0.0634965385984629,0,-0
11.9893192597097,-8.88829639446055,5.24138296270549,0.0504665086366645,-0.0863315209296435,-0,0
12.0319911199394,-8.97873483951869,5.15325031655196,0.0426718602297334,-0.0904384450581394,-0,-0
12.0626723681047,-9.07391183784821,5.02423115405299,0.0306812481653121,-0.0951769983295257,0,-0
12.0698732571809,-9.17365223686743,4.78446024785281,0.00720088907622009,-0.0997403990192137,-0,-0
12.0590677976487,-9.27306673301512,4.60412300197813,-0.0108054595321771,-0.099414496147687,-0,-0
12.0521705474975,-9.37282858915438,4.64336167540506,-0.00689725015123276,-0.0997618561392646,0,-0
12.0414064861027,-9.47224757618548,4.60453941209331,-0.0107640613947628,-0.0994189870310987,-0,-0
12.0505393474527,-9.57182965712157,4.80384503350937,0.00913286134992176,-0.0995820809360957,-0,0
12.0637372696103,-9.6709549054225,4.84475438371324,0.0131979221576414,-0.0991252483009291,-0,-0
12.078607156853,-9.76984315777529,4.86164136714091,0.0148698872427138,-0.0988882523527895,-0,0
12.086554501638,-9.86952685609588,4.79194632634244,0.00794734478496235,-0.0996836983205827,-0,-0
12.0983219842825,-9.96883207424785,4.83033709425964,0.0117674826445372,-0.0993052181519708,0,-0
12.0891421683816,-10.0684098377296,4.62046140098186,-0.00917981590088862,-0.0995777634817422,0,-0
12.0934350725418,-10.1683176501062,4.75533121860725,0.00429290416017715,-0.0999078123765681,0,-0
12.0768603993204,-10.2669344854214,4.5458738115645,-0.0165746732214296,-0.098616835315289,0,0
12.0529624157859,-10.3640369384439,4.47107387187116,-0.0238979835344604,-0.0971024530224992,-0,0
12.0146886821965,-10.4564226587535,4.31963155322092,-0.0382737335894663,-0.0923857203095942,0,0
11.9994557551376,-10.5552556387411,4.55946435869605,-0.01523292705883,-0.0988329799875546,0,0
11.9657586591582,-10.6494071428319,4.36869114066315,-0.0336970959793963,-0.0941515040907757,0,-0
11.9537169805843,-10.74867948529,4.59167926792532,-0.0120416785739378,-0.0992723424581186,-0,-0
11.923738270683,-10.8440800982474,4.40791949941643,-0.0299787099012472,-0.0954006129574484,0,-0
11.8934080226692,-10.9393695313207,4.40423249297138,-0.0303302480138432,-0.0952894330732362,0,0
11.8606416089114,-11.0338489583376,4.37855881893123,-0.0327664137578003,-0.0944794270169577,-0,0
11.8129975249098,-11.1217696115407,4.21578687911573,-0.047644084001603,-0.0879206532030341,-0,0
11.7819627754658,-11.2168319296638,4.39683042591315,-0.0310347494440206,-0.0950623181231494,0,-0
11.7431070725453,-11.3089743973459,4.31332392718441,-0.0388557029205174,-0.0921424676821307,0,0
11.7159067416853,-11.4052040289628,4.43691475943199,-0.0272003308599645,-0.0962296316168178,-0,0
11.6880262776353,-11.5012388128921,4.42983981162034,-0.027880464049979,-0.0960347839293546,-0,0
11.6621170503547,-11.5978240702647,4.45030671572744,-0.025909227280651,-0.0965852573725389,0,0
11.6287676526149,-11.6920992932577,4.37238167703683,-0.0333493977397185,-0.0942752229930964,-0,0
11.6002885299782,-11.7879582499276,4.42360035177412,-0.0284791226367766,-0.0958589566698879,0,0
11.5544416476964,-11.8768292991227,4.23611746919952,-0.0458468822817914,-0.0888710491951094,-0,0
11.5172868146866,-11.9696706605088,4.33171279922673,-0.037154833009747,-0.0928413613860644,0,-0
11.4642067216562,-12.0544203137464,4.15284364005338,-0.0530800930303897,-0.0847496532375512,-0,-0
11.4191256457275,-12.1436822686494,4.24471555734312,-0.045081075928704,-0.0892619549030292,0,0
11.3749848650099,-12.2334129293938,4.25522198586915,-0.044140780717651,-0.0897306607444538,0,-0
11.3225429958365,-12.3185589824885,4.16035672992047,-0.0524418691734074,-0.0851460530946633,0,0
11.2903753842702,-12.4132439589426,4.3848898218095,-0.0321676115662995,-0.0946849764541327,0,0
11.2629037176929,-12.5093964811949,4.4340939620565,-0.0274716665772428,-0.0961525222522467,0,0
11.2105605949938,-12.5946032738003,4.16151604678156,-0.0523431226991702,-0.0852067926053998,0,-0
11.1590868152504,-12.6803380392046,4.17168718914531,-0.0514737797433431,-0.0857347654043201,0,0
11.120547326207,-12.7726132134622,4.31675324732888,-0.0385394890433717,-0.0922751742576292,-0,-0
11.0866892599967,-12.8667069505147,4.36698092275004,-0.0338580662103615,-0.0940937370524456,-0,0
11.0608965289181,-12.9633233829861,4.45151266985749,-0.0257927310786329,-0.0966164324714245,0,-0
11.0353855998408,-13.0600146054296,4.45442824815554,-0.025510929077251,-0.0966912224434849,-0,0
11.0321115525673,-13.159960994131,4.6796426555309,-0.00327404727346131,-0.099946388701399,0,-0
11.0336771810646,-13.2599487374169,4.72804590503703,0.00156562849722822,-0.0999877432859081,0,-0
11.0422103298329,-13.3595839991072,4.79782436520653,0.00853314876830256,-0.0996352616903173,0,0
11.0485327304833,-13.4593839352295,4.77565518345883,0.00632240065044871,-0.0997999361223002,-0,-0
11.0780154681128,-13.5549389883762,5.01166384035383,0.0294827376294436,-0.0955550531467247,0,-0
11.1052667602664,-13.651154200666,4.98839282106047,0.0272512921536244,-0.09621521228973,-0,0
11.1006541286906,-13.7510477621699,4.66624629227065,-0.00461263157576372,-0.0998935615039642,-0,0
11.1109849144221,-13.8505127050703,4.81588148495588,0.0103307857315038,-0.0994649429003494,0,0
11.1276057299607,-13.9491217740793,4.87937206254954,0.0166208155385442,-0.0986090690090607,-0,-0
11.1510815226079,-14.0463271605535,4.94935850794843,0.0234757926472141,-0.0972053864741302,0,0
11.1748711574713,-14.1434562152851,4.9525884237719,0.0237896348634052,-0.0971290547316603,0,-0
11.1979849094147,-14.2407483242719,4.94563568072309,0.0231137519433932,-0.0972921089867996,-0,-0
11.1960522180961,-14.3407296460489,4.69306086380133,-0.0019326913185465,-0.099981321776956,0,0
11.1880829153204,-14.4404115913212,4.63261135584451,-0.00796930277572864,-0.0996819452722947,0,-0
11.2107833026415,-14.5378009768592,4.94138911376382,0.0227003873210826,-0.0973893855380187,0,-0
11.2237729203914,-14.6369537369353,4.84265324972692,0.0129896177499367,-0.0991527600761095,-0,-0
11.2390657507873,-14.7357774655559,4.86591973718088,0.0152928303958288,-0.0988237286206325,-0,0
11.2307534362589,-14.8354313938638,4.629169813608,-0.00831231452837668,-0.0996539283078261,-0,-0
11.2153169198514,-14.9342327802974,4.5574040968063,-0.0154365164074655,-0.0988013864336025,-0,-0
11.1684207147875,-15.0225546119734,4.22427375955484,-0.0468962050639022,-0.0883218316760043,0,-0
11.1064032942951,-15.1010010239721,4.04342422797431,-0.0620174204924228,-0.078446411998676,-0,-0
11.0324271313776,-15.1682879270068,3.8796729514261,-0.0739761629174869,-0.067286903034732,-0,-0
10.9604837148915,-15.237743990992,3.90940167184634,-0.0719434164860612,-0.069456063985178,-0,0
10.8824203739323,-15.3002429093689,3.81671033073943,-0.078063340959199,-0.0624989183769435,-0,0
10.7975383843466,-15.3531111214057,3.69863986468208,-0.0848819895857297,-0.0528682120368003,0,0
10.720224341099,-15.4165346085119,3.8286111337013,-0.077314043247577,-0.0634234871062116,-0,0
10.6340531014206,-15.4672743114307,3.67375405251046,-0.0861712396783964,-0.0507397029188028,-0,-0
10.5529546962555,-15.5257811373544,3.76655687720444,-0.0810984051651726,-0.0585068259236947,-0,0
10.4733218841586,-15.586267625412,3.79118883200077,-0.0796328120968993,-0.0604864880575814,-0,-0
10.3823177952489,-15.6277194746075,3.5690062868189,-0.0910040889096549,-0.0414518491954656,0,0
10.2966178799946,-15.6792512563097,3.68297111020958,-0.0856999152542809,-0.051531781702257,-0,0
10.2199486936029,-15.7434527816657,3.83871654103104,-0.0766691863916791,-0.0642015253560067,-0,0
10.1505741495405,-15.8154748104911,3.94571245491232,-0.0693745440624724,-0.0720220288253815,0,-0
10.0739550085952,-15.8797360526267,3.83949568419926,-0.0766191409453164,-0.064261242135534,0,-0
10.006269459162,-15.9533476440911,3.96890653478036,-0.0676855494331751,-0.0736115914644508,-0,0
9.95020174159063,-16.0361510923668,4.11718559559434,-0.0560677175713573,-0.0828034482756516,-0,0
9.90042577910269,-16.1228825950541,4.19137524097824,-0.0497759624879389,-0.0867315026873125,-0,-0
9.85380565517035,-16.2113504651795,4.22739702866304,-0.0466201239323331,-0.0884678701254524,0,0
9.81646911757134,-16.3041189024851,4.32975487962868,-0.037336537599017,-0.0927684373055685,-0,0
