Alpha_0_25__Dr_0_1__H_0_99,Alpha_0_25__Dr_0_5__H_0_99,Alpha_0_25__Dr_0__H_0_99,Alpha_0_25__Dr_100__H_0_99,Alpha_0_25__Dr_10__H_0_99,Alpha_0_25__Dr_1__H_0_99,Alpha_0_25__Dr_5__H_0_99
0,0,0,0,0,0,0
0.10192529604758,0.10381714294245,0.101106447168189,0.10113502482349,0.104555187002472,0.104152625634603,0.103332990560317
0.204252748167056,0.207325749325183,0.202084846188111,0.201841058855062,0.208721521716812,0.207842548678248,0.208054308922896
0.306003043848171,0.311317262862828,0.303135016023426,0.304290265963658,0.310869751852025,0.311166287496118,0.313424010170696
0.408012586363147,0.415463077900543,0.404566016187988,0.408297856708696,0.413086941171326,0.413709612592859,0.417250464061961
0.510947088985768,0.520356004807757,0.505899542900995,0.511202642758671,0.516636164022209,0.515437224596416,0.521278188784095
0.613834139827327,0.625294657022187,0.607706012939206,0.615171554031383,0.620894681624193,0.618361970028067,0.625878835186075
0.716423254264763,0.729791272703509,0.708193034250159,0.718508478244046,0.723920645221966,0.722608663344837,0.731551385784713
0.819553094411326,0.833213349639332,0.809020602600861,0.821471824994044,0.828580460438308,0.82613712509175,0.839722417489385
0.922856295117087,0.936752960425154,0.910484071716727,0.924382160347309,0.93068992609916,0.93065046872998,0.947013285338748
1.02652518835967,1.04060456899594,1.01125310365495,1.02960236014792,1.03375364488667,1.03545552634812,1.05139837038348
1.1307598917361,1.14511488957502,1.11257760601787,1.13272065227181,1.13247010232076,1.14102246058543,1.15474724644234
1.23473424192471,1.24947951924973,1.21386180670544,1.23546428981992,1.23454962798882,1.24609910939786,1.25934691291927
1.33853245463981,1.3534948016266,1.31553623679375,1.33735208832055,1.34021438211587,1.35156447036924,1.36345344627357
1.44206993489883,1.45686562442283,1.41680272942339,1.43975022827672,1.44169964749545,1.45728217174039,1.46925875545585
1.54566970552367,1.56087170860276,1.51826816242832,1.54210928566308,1.54390887185025,1.56153150027996,1.57398947879401
1.64967599792747,1.66479443241324,1.61929102356873,1.64697919008411,1.6458987784459,1.66502188395979,1.6781459403666
1.75350888019695,1.76965350929041,1.71961216839392,1.75092122106005,1.74863115590524,1.76944243381058,1.78302836935341
1.85829914719513,1.87398999633377,1.82012193886024,1.85357436630123,1.85131828088391,1.87426195899047,1.88685777212577
1.96275434011046,1.97760088484949,1.92173290869673,1.954444412035,1.95288339588942,1.976770567152,1.98931423559855
2.06660109734561,2.08119126820601,2.02302569438624,2.05716900447283,2.05622300028572,2.07948764965885,2.08983495302175
2.17007690965429,2.18502541580804,2.12500364486957,2.16297077693225,2.15912718878774,2.18078970579554,2.19375798318811
2.27337773783151,2.28822092437143,2.22630715341177,2.26873551776762,2.26086737937432,2.28276595440339,2.29573234368044
2.37679893138973,2.39139820868466,2.32718479763219,2.37367084622028,2.36405533890659,2.38464656559972,2.39912539370726
2.48000597913488,2.49384218619391,2.42850782987913,2.47700310363535,2.4665732198809,2.48646510729665,2.50182206934613
2.58365027446928,2.59574402220464,2.5299239249976,2.58067692629111,2.56994894556139,2.58867147821581,2.6068161961231
2.68678644621047,2.69794969934745,2.63074601935618,2.68410451580262,2.67353480671523,2.69038702068043,2.71119412252093
2.78967518500091,2.80066716453043,2.73199060372578,2.78749775133067,2.77716130250508,2.79253519956283,2.81655900525465
2.89238057411794,2.90339336287858,2.83323642284228,2.89050119205789,2.87859575967361,2.89421906140576,2.922223636966
2.99466489261589,3.00681064114542,2.93447657216158,2.99341823153398,2.97835026429346,2.99505042719011,3.02815607788772
3.09779056211256,3.11012021288533,3.03511308263889,3.09693887404091,3.0816275773395,3.09423748309262,3.13424179831204
3.20101220291414,3.21201184944917,3.1364931030205,3.20170782637448,3.18491731047444,3.19378910230077,3.23915866525492
3.30359110878623,3.31494978401046,3.23808107961721,3.3047539394238,3.28791610871396,3.29391056330738,3.34181357304819
3.40531193606487,3.4188616090774,3.33989202716685,3.40917534363203,3.39140943376494,3.39492011954764,3.44399987910935
3.50705696497211,3.52417540214634,3.44164477344507,3.51010988987875,3.4956410119209,3.49485942020995,3.54588845246979
3.60830843085604,3.62918545908691,3.54326293607293,3.611973771478,3.59923603665202,3.59433548066748,3.64888231853626
3.70923973113177,3.73294664837104,3.6446090711702,3.7147869901269,3.70147617722034,3.69360562734364,3.75208374320365
3.81072507704461,3.83649890074558,3.74640271689871,3.81661173293787,3.80647830846679,3.79284646852152,3.85524885351959
3.91168951090711,3.94057172154676,3.84700012852872,3.91771952090974,3.90858032349586,3.8935345159684,3.96055562009845
4.01290127721094,4.04507120988881,3.94782122231851,4.02211767435862,4.01158702256751,3.99493176677788,4.0674063135761
4.11374260162745,4.1499274353251,4.04884921857863,4.12402383935371,4.11508248141362,4.09636242134772,4.17245547038897
4.21492054891342,4.25428702874267,4.1497922796292,4.22487581819207,4.21767283753653,4.19821659466182,4.27412621314474
4.31626926556221,4.35946108741488,4.25040393279037,4.32751065700522,4.32108664784455,4.29986816371315,4.37724207558411
4.41708346045469,4.46306748828115,4.35172101664855,4.42862678606011,4.42470395916011,4.40177321530597,4.48282262679438
4.51754767437679,4.56683406411789,4.45273175334818,4.53140537213974,4.52776619429196,4.50490331032086,4.59031687325587
4.61702250480928,4.67069787628579,4.55424401992023,4.63541271124393,4.63131535137091,4.60854838968955,4.69695562289812
4.71742215192104,4.77335321000689,4.6549687963349,4.73576179844153,4.73664370729562,4.71115905316818,4.80276263622034
4.81751631622264,4.87632142445567,4.75570797844961,4.84066882930479,4.84129672601487,4.81324997115328,4.90804852061612
4.91792896216772,4.97972387247754,4.85645773190219,4.94356694081969,4.94057420426257,4.91599110998718,5.0127027055449
5.01775713589752,5.08228725691547,4.95778478441486,5.04483858002604,5.04130841801206,5.01825665423076,5.116724502069
5.11839130609121,5.18301928999098,5.05859912022374,5.14787649946507,5.14338062402481,5.12187098540194,5.21690755436279
5.21923163574238,5.28390214284909,5.15963747865393,5.25101565768697,5.24869838845105,5.22584128821966,5.31854226685773
5.31989318067442,5.38521361656999,5.26143398734399,5.35457954333099,5.35184024399901,5.33049156325703,5.41973707391783
5.4209226681255,5.4870477749565,5.36345363994452,5.45644102598084,5.45536317409521,5.43480477818088,5.5211208358197
5.5214894927239,5.58920361233345,5.46471249225185,5.55652045135701,5.56099736397714,5.53913157736836,5.62356162578006
5.62245117536183,5.69056324403345,5.56579107602805,5.65902206781254,5.66480628044711,5.64224194187151,5.72407981158633
5.72420063634491,5.79095300036889,5.66731521848384,5.76337444703773,5.77169375029938,5.74683326673228,5.82436316361468
5.82585349798118,5.8933251678791,5.76867705841383,5.8661511559627,5.87468665435999,5.85125229408761,5.92699552529936
5.92715342866386,5.99709470265029,5.86953661434334,5.9700317736984,5.97691864407752,5.95592396991336,6.03049014763767
6.02892036011168,6.10157547179334,5.97021892690009,6.07062458697262,6.08027436109493,6.06120103689922,6.13525167071354
6.13019118239597,6.20586204269953,6.070928640674,6.17310183958105,6.18383375962098,6.16617361843906,6.24008508374809
6.23221450850826,6.3094854562058,6.17174464837243,6.27713151013718,6.28661090380226,6.2718461244688,6.34350651318257
6.33386298865288,6.41283162194229,6.27225597115007,6.38077850579224,6.39119356921759,6.3777009220228,6.44719372728529
6.43528135990135,6.5168606540566,6.37325278780963,6.4849238011561,6.49736108425161,6.48473313896637,6.55252829221638
6.53737331821506,6.61961062375166,6.47489783722192,6.58721591048667,6.60046437950974,6.59293431461312,6.65594293550466
6.63961146053662,6.7226321068091,6.57671216134344,6.69076658017946,6.7049544579152,6.70110262082647,6.76140088977205
6.74138681316829,6.82467487770381,6.67835310179175,6.79487231215112,6.80920817458262,6.80807949108341,6.86466862353424
6.84288637712117,6.92695266312249,6.77985394610535,6.89873371695889,6.91113100425215,6.9142449229364,6.96907738672875
6.94521746780667,7.03043991140833,6.8815370804567,7.00034907070774,7.01304650411523,7.01896598641675,7.07253754166477
7.04772375660413,7.13433041618519,6.98408625543141,7.10309052955443,7.11750294304708,7.12286184872939,7.17414346486462
7.1498743158143,7.23764027082269,7.08674803815003,7.20788758989799,7.22285548290152,7.22730650796269,7.27487134489171
7.25188146385779,7.34097865856009,7.18938673361941,7.31066989296266,7.32416591053508,7.33252683706646,7.37855154003904
7.35342424925558,7.44332705987984,7.29100278843057,7.41178638983424,7.42934006027797,7.43613684928181,7.48203566289949
7.4549503380674,7.54539491914628,7.39266950126691,7.51391804015316,7.53241553402708,7.53960281255889,7.58539983107268
7.55713925482119,7.64650188251241,7.49439656925302,7.61722817979577,7.63414719078109,7.64345098712556,7.68748314964388
7.65932865633955,7.74882345244167,7.59606516365247,7.72189241646376,7.74027144299794,7.74602301304987,7.78901433320221
