theta_array,theta_org,x_array,y_array,xi_x_array,xi_y_array,fmpi_x_array,fmpi_y_array
3.93916716067693+0i,1.56038006533268+0i,-2.9206023276827+0i,-2.87220381576656+0i,-0,-0,-0.0698444600388318+0i,-0.0715664125262964+0i
3.90352396641697+0i,1.56036975870264+0i,-2.99295274137636+0i,-2.94123582021635+0i,-0,-0,-0.072350413693659+0i,-0.0690320044497942+0i
3.9159572257099+0i,1.5603611173765+0i,-3.06443929226615+0i,-3.0111620173236+0i,0,0,-0.0714865508897916+0i,-0.0699261971072447+0i
3.92101883678014+0i,1.56034792485199+0i,-3.13557098971645+0i,-3.08144915425375+0i,0,-0,-0.0711316974503025+0i,-0.0702871369301569+0i
3.93752569910892+0i,1.56033652524783+0i,-3.20553282912396+0i,-3.15290082342053+0i,0,-0,-0.0699618394075018+0i,-0.0714516691667797+0i
3.89820791771795+0i,1.56032589946679+0i,-3.27824919626412+0i,-3.22154723592649+0i,-0,-0,-0.0727163671401617+0i,-0.0686464125059512+0i
3.91422467984242+0i,1.56031885893462+0i,-3.34985679014602+0i,-3.29134947441813+0i,-0,-0,-0.0716075938819023+0i,-0.0698022384916454+0i
3.92748905680367+0i,1.56030430578608+0i,-3.42053222861413+0i,-3.3620953746339+0i,-0,-0,-0.0706754384681147+0i,-0.0707459002157704+0i
3.90770506677568+0i,1.56029236967425+0i,-3.49259338101059+0i,-3.43142927914889+0i,0,-0,-0.07206115239646+0i,-0.069333904514993+0i
3.95633393408893+0i,1.56028337548039+0i,-3.56119904574096+0i,-3.50418409182066+0i,0,-0,-0.0686056647303702+0i,-0.0727548126717679+0i
3.93390465604354+0i,1.56027466425178+0i,-3.63141915548653+0i,-3.57538195827268+0i,0,0,-0.0702201097455702+0i,-0.0711978664520228+0i
3.87699486416149+0i,1.56025939385522+0i,-3.70557525310275+0i,-3.64247050562866+0i,-0,-0,-0.0741560976162141+0i,-0.0670885473559722+0i
3.91130765127555+0i,1.56026150079134+0i,-3.77738615716332+0i,-3.71206356604422+0i,0,-0,-0.0718109040605673+0i,-0.0695930604155616+0i
