X,Y,Theta
1.45074560461584,0.650919260934523,1.66382529213078
1.49427727478679,0.695262931517452,1.66384714390859
1.40198257013976,0.86493902025756,1.69397811969989
1.28658368638727,0.793598584250989,1.71636066256895
1.40626985789935,0.783422463903654,1.71829177397559
1.32620444966673,0.874109572373824,1.70133379449541
1.33060942459401,1.08579458411311,1.73261871055344
1.37060093587215,1.30402060678477,1.74062036385464
1.44077961017377,1.38331080333592,1.64255500934346
1.36827845063469,1.4333075995723,1.66333680366361
1.30686856617971,1.62771088995075,1.69967729184888
1.34739748524105,1.68290754947256,1.69592740296238
1.23564907712635,1.7918497652738,1.69728772623193
1.07410403247441,1.75876693373106,1.70717692089719
1.08487492148685,1.81764659897208,1.75431999923406
1.15275927477184,1.9702766397733,1.72033499463012
1.10970582021794,2.09515875366914,1.76884458664208
1.12433534120841,2.3159534316428,1.74697853748608
1.09501255324147,2.33477054401503,1.74431861838513
1.12448083593858,2.48184587596599,1.73540079691766
1.01024847448707,2.59351054364586,1.78117916490923
1.0096625695787,2.69228830892088,1.81366616675432
1.08265386423541,2.73256109403949,1.78113024199039
1.08986271141423,2.74950945483913,1.75034250086365
1.11772315937497,2.88311092274987,1.74776670653554
1.21640596282496,2.97449320968949,1.72935141761414
1.15810695269099,3.01230978394338,1.72280579198583
1.15691382810668,3.3082764676726,1.73675064419388
1.10987891421401,3.47432808021861,1.80924570494703
1.17841041269025,3.48493083152345,1.84090980143123
1.15732965178905,3.7515905334346,1.84836344015144
1.05618193410907,3.73798420070816,1.89232035246265
0.892077546149054,3.81541794063136,1.9084982351419
0.89275074911669,3.79442023397279,1.94286973043651
0.902065875942918,3.97883499714283,1.85187104085716
0.901799251065451,4.00181890866096,1.82660184023684
0.889668510036358,3.88388717967749,1.81992201182655
0.938783971186881,3.94738015205957,1.88198686520247
1.04066017389495,4.08538055454714,1.84966638848993
0.927148486553016,4.33748820956448,1.85283425690527
0.884400149027573,4.44530723923442,1.87651539371162
0.841215012918964,4.5589973034737,1.8860736018783
0.789681304314088,4.78336621657611,1.94234451498244
0.882189184775805,4.90810133594934,1.93704732249873
0.946214219520887,4.96830331341028,1.91825208094877
0.991790448876199,5.08527142358045,1.97206371559338
0.986907325453368,5.23738705188642,1.99992442497313
0.892994150172945,5.31246181609042,2.0125053113638
0.755748502977862,5.32584369209636,1.99716943218865
0.699631778860289,5.47741207973475,1.99595963024173
0.600618934884657,5.69359207980696,1.96793306511741
0.552571162639351,5.72526009660821,1.99004451342746
0.496838275876175,5.97175736216307,2.02956894423478
0.443435046073082,5.93526531435654,2.05759057283907
0.346104787297953,6.03756946484005,2.09233872608571
0.388936991455252,6.15089877450831,2.05753933963263
0.394789818759994,6.22100309668958,2.03264378503259
0.327018494855868,6.50028038237802,2.04155170878187
0.231276592685941,6.4962483357037,2.06871807395604
0.264360873593441,6.58941583791627,2.058973661946
0.173300558569303,6.70056186780987,2.04122633803514
0.173216632827631,6.73990060052974,2.02261790845788
-0.0523835335084577,6.96338265882595,2.01532146641787
-0.0842009833934221,7.08733281631746,2.03108074251095
-0.0515770829851677,7.11672078717437,2.09629418071096
-0.0898219603846305,7.1827302745066,2.11352117958704
-0.172250460856369,7.19735294143084,2.11974078156479
-0.0821404527572079,7.26606931493786,2.04996970480144
-0.230231545489791,7.3915379857997,2.02257830065825
-0.328740501748502,7.38060449113242,1.99666665569005
-0.394174555095627,7.44098866577696,1.92183482935062
-0.403923047616335,7.52161742642675,1.98280411381846
-0.444889804700584,7.64221503663533,1.98082049671737
-0.469149323144643,7.70956087053453,1.98162604169707
-0.667816724514284,7.86588351141232,1.94778363557484
-0.569792292175193,7.8618642288282,1.92333944725676
-0.712980205331715,7.97293119555441,1.97211438296426
-0.935200469562074,7.85749377570583,1.99699430318377
-0.976497898918837,8.05741948155137,1.94984784531867
-1.08421315384915,8.13630106060418,1.9770947882872
-1.16723642344184,8.32461813148336,2.03130888624155
-1.12426563326268,8.5125517628904,2.01489706768649
-1.23784440145069,8.6300955890059,2.02921965577374
-1.32237169983028,8.5710177585722,1.99634812108876
-1.35299163767619,8.62158944543451,1.98007667500431
-1.36634337373782,8.70678063089997,1.96174316980265
-1.40480350550788,9.01881271878407,1.95117866479504
-1.38660021823918,8.94371899871436,1.92390359454713
-1.49166803850245,9.01980568732731,1.91557641772759
-1.47901022403947,9.1126134137739,1.91536415573921
-1.45205268085905,9.24916870863556,1.96130210792096
-1.43202635693869,9.21838129290318,1.96422344756043
-1.48668513013727,9.39316054455862,2.02088283646535
-1.48187838874965,9.65165474932913,1.97823971086771
-1.44200551609636,9.7234602146649,1.99623137098639
-1.43941283108131,9.70023307739678,2.03617823234723
-1.50527940554428,9.66699069366513,2.05782442723885
-1.55081536832784,9.77364733503094,2.06494333017466
-1.55260022079125,9.93248069604176,2.01890624753368
-1.65050056599693,9.93972644028174,2.05453277325779
-1.5994568272861,9.98201807074477,2.16673299539117
-1.71968502489748,10.1409519028535,2.14226211552373
-1.7679337050151,10.3686948037812,2.08594940219486
-1.83370047287053,10.4436064680545,2.1492154227786
-1.85911800900029,10.4919147071889,2.11489691250989
-1.98252376921334,10.5002521701294,2.04419521303676
-1.90264812592869,10.5490066080021,2.11914764948944
-2.02685703930999,10.7119995524338,2.12721664596522
-2.00682849117878,10.8106395456428,2.15941375005016
-1.97371318993406,10.8218657011153,2.2173532441711
-2.20202120671736,10.8779960894755,2.23864599716737
-2.34429923832452,10.9512365730866,2.18372964692666
-2.42069367887892,11.035031369597,2.22011251736074
-2.54704506191002,11.0284098115537,2.17527258679517
-2.64066425164797,11.0738490854981,2.1368979613509
-2.75149840347975,11.1245579315566,2.16414622274051
-2.65628744926319,11.1226623519778,2.13138929007565
-2.61796845058369,11.3886063976934,2.13004768845665
-2.72904405300057,11.5963522512958,2.07403884584889
-2.81162050208043,11.7204390426647,2.08736558365305
-2.84068930354836,11.8385628082527,2.05397796510535
-2.89886031631299,12.0498625711568,2.09971294013944
-2.82770678378654,12.0400225995805,2.12662394840995
-2.8107949575562,12.008633077623,2.1603665352982
-2.94184009918762,12.0671403664727,2.18115643746363
-2.81100774406589,12.1285206298566,2.19030253019716
-2.80123302636671,12.2719711531769,2.13711049311233
-2.93113509764282,12.2833600921968,2.0857078751667
-2.8476964962163,12.2918486326038,2.08576129619986
-2.91309726408299,12.3261037774576,2.09536652648246
-2.96206036758012,12.3514907581652,2.05318653998068
-2.96213558267885,12.3993444609155,2.06121177802734
-3.16865680064174,12.4940287432908,2.09959225482505
-3.24517869721619,12.4865457955929,2.16737016150286
-3.112506930379,12.4985271860252,2.15913173886087
-3.19169203948933,12.5581920689178,2.14731411856713
-3.15889123949714,12.6467133127532,2.12685608318134
-3.2026472964691,12.6554366234013,2.14452006911951
-3.41626371710876,12.7109987374143,2.12703157565735
-3.41545642288547,12.8293668122504,2.12396494824857
-3.38139516056348,12.7777884544922,2.1127272405878
-3.45263049725782,12.8104922577679,2.16683896236866
-3.52535375213628,12.9029455368454,2.13886336212412
-3.54255174968847,13.0621762608895,2.08294205701757
-3.5664038977652,13.0272390690876,2.10994333267146
-3.7115193836197,13.1832615434313,2.15719049908666
-3.76948079538698,13.2289646057472,2.12141209143247
-3.83657080148501,13.3689385487297,2.10633897697517
-3.95756008225007,13.3647215279683,2.13440242415035
-4.14363955421988,13.3442928572099,2.13868588724742
-4.27100806752142,13.4946059142058,2.08376979035574
-4.25572309557987,13.5600878072275,2.02908925857913
-4.2559958762987,13.6642242339365,2.07158039145202
-4.49155761469339,13.7636990356428,2.08624048556446
-4.49858163225948,13.8940500351096,2.14760271382256
-4.55445809344182,13.7489796200552,2.18632777085894
-4.64913874599223,13.9065530904385,2.15183127012185
-4.70109664386443,14.0066453139059,2.05885669537974
-4.82334418665116,14.0282200150164,2.04547815374868
-4.8601832588967,14.1997651927241,2.08081872890672
-4.84282051061873,14.3589168064758,2.05060561568844
-4.88081050663397,14.5723802576416,2.01467856645281
-4.96206981102972,14.716504627156,2.03606195274474
-4.95343813672775,14.9009019488956,2.11776399004277
-4.92829519307544,14.8944498442227,2.03760352880508
-4.9921610286947,15.13935828791,2.07856453179383
-5.0328123104116,15.2195280618455,2.078092066913
-5.02763151394271,15.4654107322421,2.09012284233514
-5.01618001844267,15.6135293152796,2.06733985420596
-4.95621041316905,15.6367406424634,2.04352226317843
-5.06233055522019,15.6261241414217,1.99487706052397
-5.03703841180851,15.7507657691072,2.09696053504717
