theta_array,theta_org,x_array,y_array,xi_x_array,xi_y_array,fmpi_x_array,fmpi_y_array
3.93032274596674+0i,1.46879676009082+0i,-63.859887002711+0i,-63.8140406119004+0i,0,0,-0.0704746830912076+0i,-0.0709458881345061+0i
3.93278532525207+0i,1.46774346062749+0i,-63.9301867624147+0i,-63.8851598342358+0i,-0,0,-0.0702997597037023+0i,-0.0711192223354679+0i
3.9303192087162+0i,1.46666878938011+0i,-64.0006616964588+0i,-63.9561054730833+0i,-0,0,-0.0704749340441474+0i,-0.0709456388474519+0i
3.92785446027061+0i,1.46557076312601+0i,-64.071311279412+0i,-64.0268771936257+0i,-0,0,-0.0706495829531979+0i,-0.0707717205424541+0i
3.93031786477671+0i,1.46444995417555+0i,-64.1417863088028+0i,-64.0978227377591+0i,-0,-0,-0.0704750293907298+0i,-0.0709455441333406+0i
3.93278487834647+0i,1.46330429501398+0i,-64.21208610029+0i,-64.1689419286772+0i,0,0,-0.0702997914872743+0i,-0.0711191909181042+0i
3.9303142277824+0i,1.46213431427366+0i,-64.2825613877088+0i,-64.2398872164928+0i,-0,0,-0.070475287418804+0i,-0.0709452878155905+0i
3.927844851394+0i,1.46093783938977+0i,-64.3532116506955+0i,-64.3106582581688+0i,0,-0,-0.0706502629866663+0i,-0.0707710416760619+0i
3.93031298087897+0i,1.45971536642407+0i,-64.4236870265762+0i,-64.3816034581085+0i,-0,0,-0.0704753758806714+0i,-0.0709451999396582+0i
3.93278482924394+0i,1.45846461591339+0i,-64.4939868215556+0i,-64.4527226455747+0i,0,-0,-0.0702997949794065+0i,-0.0711191874662065+0i
3.9303092304468+0i,1.45718603210836+0i,-64.5644624635109+0i,-64.5236675812008+0i,0,0,-0.0704756419553359+0i,-0.0709449356260424+0i
3.92783479843211+0i,1.45587721575211+0i,-64.6351134379526+0i,-64.5944379126288+0i,0,-0,-0.0706509744416815+0i,-0.0707703314280841+0i
3.93030809467168+0i,1.45453855886556+0i,-64.7055891604854+0i,-64.6653827682103+0i,-0,0,-0.0704757225327838+0i,-0.0709448555815154+0i
3.93278523523965+0i,1.45316752669376+0i,-64.7758889265907+0i,-64.736501984218+0i,-0,0,-0.0702997661053153+0i,-0.0711192160076161+0i
3.93030421445201+0i,1.45176444759821+0i,-64.8463649244046+0i,-64.8074465663377+0i,-0,0,-0.0704759978138769+0i,-0.0709445821196969+0i
3.92782423688489+0i,1.45032664732567+0i,-64.9170166462865+0i,-64.8782161515782+0i,0,-0,-0.0706517218819384+0i,-0.0707695852405341+0i
3.93030320674535+0i,1.44885437642478+0i,-64.9874927155917+0i,-64.9491606626787+0i,0,0,-0.0704760693051695+0i,-0.0709445111005281+0i
3.93278616516326+0i,1.44734478882918+0i,-65.0577924155615+0i,-65.0202799440597+0i,0,0,-0.070299699969847+0i,-0.0711192813809975+0i
3.93029917705235+0i,1.44579805425462+0i,-65.1282687707507+0i,-65.0912241711628+0i,0,-0,-0.0704763551891965+0i,-0.0709442271030294+0i
3.9278130890358+0i,1.44421116049781+0i,-65.1989212815569+0i,-65.1619929687842+0i,0,-0,-0.0706525108062045+0i,-0.0707687976214034+0i
3.93029831795915+0i,1.44258416568493+0i,-65.2693976976938+0i,-65.2329371353414+0i,-0,-0,-0.0704764161368739+0i,-0.0709441665572455+0i
3.93278770243814+0i,1.44091383896448+0i,-65.3396972883337+0i,-65.3040565247923+0i,0,0,-0.070299590639879+0i,-0.0711193894508765+0i
3.93029411486844+0i,1.43920013273407+0i,-65.4101740026547+0i,-65.3750003951301+0i,-0,0,-0.0704767143210187+0i,-0.0709438703378489+0i
3.93278696936979+0i,1.43743961352326+0i,-65.4804736454299+0i,-65.4461197330466+0i,0,0,-0.0702996427752342+0i,-0.0711193379164518+0i
3.93028981447466+0i,1.43563207424547+0i,-65.5509506648369+0i,-65.5170633003061+0i,0,0,-0.0704770194069456+0i,-0.0709435672595691+0i
3.92779329846919+0i,1.43377380900416+0i,-65.6216045761839+0i,-65.5878306996605+0i,0,0,-0.0706539113469714+0i,-0.0707673993543235+0i
3.93028922729934+0i,1.43186446831611+0i,-65.6920816372471+0i,-65.6587742255377+0i,0,0,-0.0704770610632451+0i,-0.0709435258771906+0i
3.93278961645246+0i,1.42990007418756+0i,-65.7623810917633+0i,-65.7298937495428+0i,-0,0,-0.070299454516221+0i,-0.0711195240051688+0i
3.93028470690413+0i,1.42788006812931+0i,-65.8328584735186+0i,-65.8008369568351+0i,0,0,-0.0704773817552997+0i,-0.0709432072922965+0i
3.92778022233381+0i,1.42580013658366+0i,-65.9035133102236+0i,-65.8716034323033+0i,0,0,-0.0706548367050253+0i,-0.0707664754681636+0i
3.93028434304771+0i,1.42365950843547+0i,-65.9739907177921+0i,-65.9425466139519+0i,-0,0,-0.0704774075684366+0i,-0.0709431816486438+0i
3.93279317388181+0i,1.42145350894571+0i,-66.0442899193052+0i,-66.013666388042+0i,0,-0,-0.0702992015130936+0i,-0.071119774090062+0i
