Alpha_0_25__Dr_0_1__H_0_01,Alpha_0_25__Dr_0_5__H_0_01,Alpha_0_25__Dr_0__H_0_01,Alpha_0_25__Dr_100__H_0_01,Alpha_0_25__Dr_10__H_0_01,Alpha_0_25__Dr_1__H_0_01,Alpha_0_25__Dr_5__H_0_01
0,0,0,0,0,0,0
0.00627296775721783,-0.00721556422355092,0.00671748802990862,-0.00159813498403687,0.00603565153159485,0.00625044216631548,-0.00484499052822852
0.00604736836397971,-0.0081306304153429,0.00671748802990862,0.00411196543493832,0.00883637579818508,0.00486953564802255,-0.00689373212267478
0.00546922453773917,-0.00637507340135121,0.00671748802990862,-0.000880372783936693,0.00720185445408399,0.00182640264734274,-0.00766026173659787
0.00502142332523903,-0.00709562164405289,0.00671748802990862,0.00203652619634386,0.00323513993768813,0.00287809149317873,-0.00473411127988318
0.00480456586430921,-0.00722587888643846,0.00671748802990862,-0.00590575584022158,0.00413298201783882,0.0060667685848101,0.00464932859597884
0.00439854208584953,-0.0047556114973107,0.00671748802990862,0.00226866581173286,0.00639773335786273,0.00466478048436301,-0.000147972123987172
0.00354823287608634,-0.00775491776446976,0.00671748802990862,-0.0144064637938699,-0.00613540118995592,-0.000526735919658772,-0.00019144833556036
0.00263120402655491,-0.00609857678395429,0.00671748802990862,0.00155253015255506,0.00143630735273686,0.000892003485763645,0.00208916017604714
0.00261817096803827,-0.00619974419008222,0.00671748802990862,0.002093145765664,0.00524456944487308,0.00161021764495852,-0.00381643517915408
0.00224083182931147,-0.00545466441539739,0.00671748802990862,-0.00072780884627274,-0.000608084702841638,-6.09539715074514e-05,-0.00565809212603585
0.00279187311172758,-0.00429914251034189,0.00671748802990862,0.0055019592945813,-0.00232597337105408,0.00050057217372048,0.00439406618017758
0.00367286011835239,-0.00158480232144707,0.00671748802990862,-0.00712908790701422,-0.0095896645713556,-0.00104851440556573,0.0046212849498136
0.00101768611351543,-0.00239616008914345,0.00671748802990862,-0.000546948860240943,-0.0070738975340892,-0.0050997591617704,-0.00174303030716311
0.00130937156387995,-0.00172816318305616,0.00671748802990862,-0.00436223517614677,-0.00651354469538725,-0.00675328985122013,-0.00392643536593092
0.00131683499839901,-0.00183867159037446,0.00671748802990862,0.000308970717686933,0.00467171719401812,-0.00716168494953217,0.000458750217530259
0.00155137976217885,-0.00141488977906864,0.00671748802990862,-0.00407697904023473,0.0023851199005782,-0.00848198388375792,0.00191108688009525
0.00155216776752303,-0.00267316507943327,0.00671748802990862,0.00382438229450482,0.00419168146344219,-0.0140825112057002,0.00277990118437036
0.0009556624331,-0.00215796504600614,0.00671748802990862,0.000209330163421178,0.00795211830326283,-0.0138318523173775,0.0063422205831809
0.00130632858413285,-0.000852023755327919,0.00671748802990862,0.000214928631641277,0.00287044227734655,-0.0150036138636648,0.00494851167957914
0.00151150863920883,-0.00247388613354514,0.00671748802990862,-0.00360441559270001,0.00588719518275544,-0.0134047872797115,0.00367978876352089
