Alpha_0__Dr_0_1__H_0_5,Alpha_0__Dr_0_5__H_0_5,Alpha_0__Dr_0__H_0_5,Alpha_0__Dr_100__H_0_5,Alpha_0__Dr_10__H_0_5,Alpha_0__Dr_1__H_0_5,Alpha_0__Dr_5__H_0_5
0,0,0,0,0,0,0
7.77053994716663e-17,8.61627786449365e-17,7.61453459969613e-17,7.79106323860379e-17,9.07471441382135e-17,7.52310956062642e-17,7.33486359272363e-17
0.000660641123336935,0.0038714103598332,3.54364929966294e-16,0.0645174163952897,0.0366346578870396,0.0062679165514459,0.0276993453157113
0.00150418155709242,0.00808772999417753,1.1573822334583e-15,0.0734843483431069,0.0685016504211378,0.0115403975083235,0.0551154117076197
0.0027242837619282,0.0135342609467447,4.7497261161793e-16,0.0868992883748091,0.0992129840453122,0.0183111100705312,0.0820291866655864
0.00420855349768608,0.0198755211901764,2.67267051940435e-16,0.097010549333991,0.122437440472171,0.0295568272228023,0.106504168023938
0.00562587329143937,0.0279203716914039,2.31102865175138e-15,0.112685683935228,0.142101892768507,0.0427181070247101,0.125269658434294
0.00764922885935816,0.0375775309717548,8.59038225460168e-16,0.122508741247558,0.158525381402146,0.0598226077610817,0.141810336368798
0.00971299656536561,0.0468439161248396,6.46312376392182e-16,0.129119029871507,0.168810680247598,0.0816197008274366,0.164159905921542
0.0116327086559833,0.0555766785164942,3.22329991247464e-15,0.133776827227817,0.17755986085647,0.10432775976631,0.189513484417099
0.0135706063803215,0.0674463604846109,2.88953951367936e-16,0.137574405386729,0.191382448259031,0.130659054347299,0.215283316921396
0.0152662041288673,0.0795921044741129,3.84956343067354e-15,0.151765091747291,0.204212670753283,0.15350262990821,0.234641715087942
0.0176602377122304,0.0953784063630425,4.02395482781008e-15,0.154980160764592,0.215412808519613,0.177135747762512,0.243874457560367
0.0210027153431018,0.112153908830521,3.49265001446962e-15,0.158602143691553,0.221558847569282,0.194352823791272,0.262028902204113
0.0237078448960259,0.130599351029876,2.60025209588391e-15,0.172750775686559,0.22459338668716,0.210690769132754,0.280944845167867
0.0267460321148161,0.150662107560951,2.72843898179514e-15,0.185617532174228,0.237950540102482,0.226431166919553,0.303243862916335
0.0307715062301562,0.172177851781016,3.41786209594541e-15,0.193292980414344,0.251046726362426,0.244772190686896,0.325665951919228
0.0351253585132055,0.192476797447311,4.47354871118728e-15,0.207461568739747,0.251728329557938,0.265310190090035,0.343999394937042
0.0401711328299935,0.212882482864087,6.0665833403616e-15,0.208327220859462,0.251186215833405,0.28660340890634,0.36170445475657
0.0467116552550893,0.230819151528571,5.50600968165938e-15,0.210404422260073,0.256537511923917,0.312125974908188,0.371737454842372
0.0539205701670489,0.249527961549411,2.96966996041451e-15,0.21939095541106,0.273629908805926,0.34050579920972,0.38610266022323
0.0615728393284827,0.266139733302447,7.10577603718162e-15,0.224135586771721,0.272233280102564,0.372282690184173,0.399740616614381
0.0693030822936471,0.28154587086245,6.40505512830643e-15,0.223085833007557,0.275927977280213,0.408557697120752,0.409294896192773
0.0771492578929777,0.29562393567761,6.43446300147569e-15,0.215714950645615,0.29582556372908,0.439836505769298,0.417398591419634
0.0845370492981212,0.311641981536376,9.54933212126378e-15,0.222562731057338,0.299862749553457,0.472436856521258,0.427587140138976
0.0910117580450027,0.327185079323122,3.11515302541689e-15,0.228901006299582,0.306888719787603,0.503646993395585,0.440236134692289
0.0978704965120075,0.34601487851886,1.04081520976384e-14,0.227078838137176,0.317939478926758,0.532413341028633,0.449861599348012
0.104859287536223,0.366564909530471,4.66551296310356e-15,0.239880090825213,0.327232963318594,0.561109513545913,0.452808340159709
0.112376168929939,0.38813962682665,3.90233094071825e-15,0.239523913317427,0.336680453326431,0.587282602672032,0.457824964960205
