Alpha_0__Dr_0_1__H_0_5,Alpha_0__Dr_0_5__H_0_5,Alpha_0__Dr_0__H_0_5,Alpha_0__Dr_100__H_0_5,Alpha_0__Dr_10__H_0_5,Alpha_0__Dr_1__H_0_5,Alpha_0__Dr_5__H_0_5
0,0,0,0,0,0,0
0.00131097070480499,-0.00144421655309292,-0.00541679534080726,-0.0096332508363118,0.00597113229216547,0.00290268926222957,-0.00778153125654339
0.000383958762671029,-0.00161663049775737,-0.00541679534080726,-0.00285138907366258,0.00189834786735319,0.00211142176805914,-0.00641912126451943
0.000325288820608422,-0.00346001268282212,-0.00541679534080726,0.000584790782100769,0.00203100574628911,-0.000445609747060058,-0.00907861910627609
0.00036773626103199,-0.00262481814786855,-0.00541679534080726,0.000550264834489385,0.00177376197732242,-0.00344982397073544,-0.0120642587131254
-0.0010579623711963,-0.00233385132562114,-0.00541679534080726,-0.00160660565884296,0.00438797490379951,-0.00243130624513716,-0.0104360253019498
-0.00141363868162377,-0.00151386091157908,-0.00541679534080726,-0.00447036123641226,0.00172847741652243,-0.000442818760582615,-0.00692398166447064
-0.0012837249533307,-0.000774301836445606,-0.00541679534080726,-0.00133187422568907,-0.000344211202338878,-0.00082439223324908,0.00309383464782643
-0.00101485021225549,0.00123606960289879,-0.00541679534080726,-0.000265619168899874,0.00574932746273952,-0.00529283176092394,0.0112333213213292
-0.000901103917580921,2.44519766184713e-05,-0.00541679534080726,0.00556045604260369,0.00456187591081051,-0.00623227938289781,0.0022562003513501
-0.000763540843778131,0.00143010843792194,-0.00541679534080726,0.00873620495307846,0.011842631837169,-0.00433774446964472,-0.00422239734461184
0.000260824800867705,0.00384844819721325,-0.00541679534080726,0.0046955949335485,0.00453960262801319,-0.000904859815084397,-0.00515389555969808
0.000842396041977179,0.00239838358862874,-0.00541679534080726,0.000437592822103936,0.00121431683470237,0.00139016503606714,-0.00136268894237464
0.0012084093260989,0.00120980805790233,-0.00541679534080726,0.00220242465440063,0.000374121378835014,-0.00250372799638553,-0.00446796071378626
0.00131218442819803,4.60228377128446e-05,-0.00541679534080726,-0.000688993709985914,-0.0027171932237475,-0.00323226179536702,-0.00320312350670741
0.00071007938165444,-0.00217116569028494,-0.00541679534080726,0.0100367228814378,-0.0065455473044387,-0.00406089283014373,-0.00196717073591576
