Alpha_0_25__Dr_0_1__H_0_99,Alpha_0_25__Dr_0_5__H_0_99,Alpha_0_25__Dr_0__H_0_99,Alpha_0_25__Dr_100__H_0_99,Alpha_0_25__Dr_10__H_0_99,Alpha_0_25__Dr_1__H_0_99,Alpha_0_25__Dr_5__H_0_99
0,0,0,0,0,0,0
-0.00180035943635668,0.000292881286302832,-0.00112354579326826,-0.00236469506750614,-0.00179311251398282,-0.00273549724499035,0.00241474205234053
-0.00247102717236689,-0.000378555475692076,-0.00081757421088638,-0.00249960152654623,-0.00230486375357464,-0.00243655952309501,0.00220389604247331
-0.00299657539615027,-0.000454366464916583,-0.000550041865615141,-0.00173227302776155,-0.00267695137412213,-0.0020740920513996,0.0027556812344816
-0.00302361061639662,-0.000700328072035689,-0.0010168911583094,-0.00265641290144096,-0.00208303604065078,-0.00219801011595216,0.0034111343637854
-0.00232536334044723,-0.000441281806201851,-0.00137851086507048,-0.00204848043413801,-0.00224738548169902,-0.00172007995042673,0.0025798382885331
-0.00254375009669953,-0.00050458338032485,-0.00105336882173014,-0.0018375946243373,-0.00248357567262823,-0.00131433043912367,0.00306170444228065
-0.00303304888176773,0.000211579049657151,-0.00180867566800558,-0.00238949020949509,-0.00257762843991803,-0.00178153376787365,0.00337079150274222
-0.00215820425504402,-0.000412957826974149,-0.00205137836321015,-0.00206846639836195,-0.00173187325043834,-0.00195423012206214,0.00306415881081797
-0.00262892460099881,-0.00123161173034943,-0.00230770075466247,-0.00215002971336828,-0.00213265095477214,-0.00275883922127847,0.00279199231031089
-0.00252584180574666,-0.000542259622692227,-0.00193674872714938,-0.00257985728172032,-0.00217447609553329,-0.00257159128391021,0.00240130690258497
-0.00306952021681954,-0.000198774434590342,-0.00172383808943049,-0.0029525778876935,-0.00286141198910479,-0.00268448808012431,0.00256333508494718
-0.00256617782525868,1.54068100407954e-05,-0.00152612758343854,-0.00352489242981617,-0.00264797459742699,-0.00321643530687295,0.00284571658131225
-0.00255937415753369,0.000381486754988348,-0.00209079540170613,-0.00357354136009586,-0.00220792792495217,-0.00200876154367483,0.00255072430605202
-0.00245940612854246,-0.00062273619029332,-0.00257511943057994,-0.00276987232308265,-0.00248813380255344,-0.00218919174469515,0.00262044124225178
