theta_array,theta_org,x_array,y_array,xi_x_array,xi_y_array,fmpi_x_array,fmpi_y_array
2.79151436060453+0i,0+0i,0+0i,0+0i,0,0,0+0i,0+0i
2.84161177041763+0i,1.56657930968924+0i,-0.122911130268405+0i,0.0247010390326891+0i,-0.0273769164324092,-0.00484915532772637,-0.0955342138359953+0i,0.0295501943604155+0i
2.93014286300113+0i,1.56613654267922+0i,-0.257481448328327+0i,0.0969280898157592+0i,-0.0367975516827979,0.0512392887545873,-0.0977727663771246+0i,0.0209877620284828+0i
2.84929097138816+0i,1.56538173643964+0i,-0.288084705307495+0i,0.195725161946189+0i,0.0651550596892323,0.069981368272387,-0.0957583166684001+0i,0.0288157038580425+0i
2.93846322925243+0i,1.5660898880823+0i,-0.308688046207321+0i,0.214349906117829+0i,0.0773406650181414,-0.00154879554604613,-0.0979440059179679+0i,0.0201735397176866+0i
2.99551978601804+0i,1.56532443245587+0i,-0.472402944440889+0i,0.232731570775271+0i,-0.0647798667158511,0.00382626914277057,-0.0989350315177162+0i,0.014555395514671+0i
2.97294848274271+0i,1.56485991884997+0i,-0.645860300436584+0i,0.228276088989747+0i,-0.0748760316643288,-0.021240072727037,-0.0985813243313665+0i,0.0167845909415132+0i
2.99424315710404+0i,1.56504620639093+0i,-0.877123800604709+0i,0.189939022293426+0i,-0.132347131105356,-0.0530187536374728,-0.0989163690627694+0i,0.014681686941152+0i
3.07292520436733+0i,1.56487245894686+0i,-1.03845293349894+0i,0.163786634176657+0i,-0.0615648011992367,-0.0330137379439152,-0.0997643316949977+0i,0.00686134982714612+0i
3.08018745858635+0i,1.56425153876075+0i,-1.19548882765039+0i,0.164763213289839+0i,-0.0572243648183574,-0.0051600822095524,-0.0998115293330889+0i,0.00613666132273438+0i
3.11868419011204+0i,1.56419757404008+0i,-1.40480103227961+0i,0.163390090314143+0i,-0.109338443366633,-0.00366376895691439,-0.0999737612625869+0i,0.00229064598121796+0i
3.0335714714149+0i,1.56391033699285+0i,-1.60779617582887+0i,0.162868930112887+0i,-0.10357800524454,-0.0113022831158861,-0.0994171383047191+0i,0.0107811229146302+0i
3.01061928344486+0i,1.56456466024834+0i,-1.78315076858373+0i,0.110434338131678+0i,-0.0762110685545423,-0.065494515761268,-0.099143524200318+0i,0.0130599237800592+0i
3.0454856688446+0i,1.56474630414221+0i,-1.90593323340119+0i,0.0657232341937657+0i,-0.0232439370781394,-0.054307014290117,-0.0995385277393254+0i,0.00959591035220458+0i
3.06380159482994+0i,1.56446424009214+0i,-2.06461472925021+0i,0.0640667667326495+0i,-0.058983915737468,-0.0094277299005027,-0.0996975801115463+0i,0.00777126243938648+0i
3.00484018340806+0i,1.5643220372138+0i,-2.19456937839485+0i,0.128024286734492+0i,-0.0308882547231685,0.0503248571537537,-0.0990663944214704+0i,0.0136326628480888+0i
2.99176056565692+0i,1.56480208096005+0i,-2.28919459424002+0i,0.203776844402968+0i,0.00425439980109921,0.0608253472912654,-0.0988796156462722+0i,0.0149272103772102+0i
3.06758360531328+0i,1.56491913145633+0i,-2.407234639579+0i,0.163166739331274+0i,-0.0183137873179549,-0.0480042555383521,-0.0997262580210268+0i,0.00739415046665831+0i
3.1253879351091+0i,1.56430650528066+0i,-2.52334053505515+0i,0.153233415001556+0i,-0.0161190248338955,-0.0115537252579838,-0.0999868706422582+0i,0.00162040092826625+0i
3.1146313320147+0i,1.56386537779771+0i,-2.69275807379396+0i,0.156074725332972+0i,-0.0694538821802378,0.000145504804224802,-0.0999636565585692+0i,0.0026958055271909+0i
3.09678959514953+0i,1.56394727738689+0i,-2.76944043751295+0i,0.155276027256042+0i,0.0232172873663954,-0.00527750517457844,-0.0998996510853869+0i,0.00447880709764894+0i
3.13644467922522+0i,1.56408335440145+0i,-2.93058055440482+0i,0.107878119526927+0i,-0.0611414419709463,-0.0479127028917465,-0.0999986749209235+0i,0.000514795162631113+0i
3.18415459254971+0i,1.5637807883593+0i,-3.09605764292891+0i,0.0816042579930913+0i,-0.0655676507839781,-0.0220189525505584,-0.0999094377401056+0i,-0.00425490898327734+0i
3.2069587256111+0i,1.56343286235601+0i,-3.2359349709329+0i,0.050736362057725+0i,-0.040090888116042,-0.0243359425912855,-0.0997864398879465+0i,-0.00653195334408079+0i
3.27928662150745+0i,1.56326983256235+0i,-3.36847398621407+0i,0.0512381558064967+0i,-0.0334854998861301,0.0142277213270169,-0.0990535153950468+0i,-0.0137259275782452+0i
3.2660888579815+0i,1.56278788046494+0i,-3.50098771951197+0i,0.0905083550616224+0i,-0.033287698108404,0.0516876845308472,-0.0992260351894967+0i,-0.0124174852757216+0i
3.33577980639332+0i,1.56287582109538+0i,-3.62398506013568+0i,0.119124332431493+0i,-0.0248768558219286,0.0479128802888376,-0.0981204848017781+0i,-0.0192969029189672+0i
3.31979942481341+0i,1.56244383992687+0i,-3.79705062752783+0i,0.137895066249228+0i,-0.0746492522180153,0.0364972367877463,-0.0984163151741326+0i,-0.0177265029700108+0i
3.30711609299749+0i,1.562539595951+0i,-3.91669369356126+0i,0.133621118389475+0i,-0.0210098416260669,0.0122029160107381,-0.0986332244073633+0i,-0.0164768638704918+0i
3.38219576518285+0i,1.56261573901099+0i,-4.04360622178408+0i,0.118597137841195+0i,-0.0297930845236225,0.00880486028708335,-0.0971194436992045+0i,-0.0238288408353628+0i
3.45270880559866+0i,1.56216901034639+0i,-4.12406160621276+0i,0.112396894944003+0i,0.0147438640653437,0.0244118966257667,-0.0951992484940238+0i,-0.030612139522959+0i
3.45177556314297+0i,1.56179374500537+0i,-4.2331856156061+0i,0.127019151923997+0i,-0.0138962338116828,0.045145539204715,-0.0952277755816549+0i,-0.0305232822247212+0i
3.46625426599306+0i,1.56179706358966+0i,-4.38610405795361+0i,0.168765137276129+0i,-0.0581425701185616,0.0736447947851178,-0.094775872228949+0i,-0.0318988094329857+0i
3.46125357706105+0i,1.56172575758403+0i,-4.37923643999219+0i,0.20394599529104+0i,0.101801820526387,0.0666053259237558,-0.094934202564966+0i,-0.0314244679088446+0i
3.46983103546322+0i,1.56175409066267+0i,-4.48421897841204+0i,0.170362276832637+0i,-0.0103213668818225,-0.00134612234690343,-0.0946611715380272+0i,-0.0322375961114998+0i
3.44687202406673+0i,1.56170582033178+0i,-4.57576341400911+0i,0.135401255862802+0i,0.00383186663277169,-0.00490505695331095,-0.0953763022298381+0i,-0.030055964016524+0i
3.44624822353607+0i,1.56181392526655+0i,-4.64966457420168+0i,0.149716850540097+0i,0.0214938724056015,0.0443120570619387,-0.0953950325981737+0i,-0.0299964623846441+0i
3.47003208233278+0i,1.56181674266227+0i,-4.77419592360688+0i,0.194215346846721+0i,-0.0298766610480039,0.0767551230986836,-0.0946546883571957+0i,-0.0322566267920588+0i
3.43983698644697+0i,1.56169941474455+0i,-4.94875603171723+0i,0.219917191212902+0i,-0.0789747229476052,0.0550860942849735,-0.0955853851627429+0i,-0.029384249918793+0i
3.53807273162916+0i,1.56184973668959+0i,-5.05314331528035+0i,0.216981971346331+0i,-0.0121446828182048,0.0356821675102793,-0.0922426007449179+0i,-0.0386173873768497+0i
3.49013885907244+0i,1.56138086217554+0i,-5.22717381830269+0i,0.231508333907229+0i,-0.0800434807289729,0.0486795416285433,-0.0939870222933643+0i,-0.0341531790676453+0i
3.45062405751838+0i,1.56159374190761+0i,-5.4316912975705+0i,0.239052022904547+0i,-0.109254619097114,0.0379572956906696,-0.0952628601706988+0i,-0.0304136066933516+0i
3.47378243003674+0i,1.56178457421983+0i,-5.54461018825256+0i,0.240300878537937+0i,-0.0183858412709255,0.0338602427402388,-0.0945330494111303+0i,-0.0326113871068495+0i
3.53642971224267+0i,1.56166521251814+0i,-5.6800547680063+0i,0.216867779901163+0i,-0.0431386544262622,0.0150326803029279,-0.0923059253274782+0i,-0.0384657789397018+0i
3.5297366561281+0i,1.56136715983401+0i,-5.78953627577576+0i,0.146432776562111+0i,-0.0169201982537919,-0.0325878900971579,-0.0925613095156677+0i,-0.0378471132418943+0i
3.56799077002795+0i,1.56138582864899+0i,-5.92668929589952+0i,0.0715192836962479+0i,-0.0461068830975584,-0.033554081208958,-0.0910461370262061+0i,-0.0413594116569047+0i
3.65109343944726+0i,1.56121025536531+0i,-6.07333092453171+0i,-0.0068456391084637+0i,-0.059342818245095,-0.0295907728377629,-0.0872988103870929+0i,-0.0487741499669487+0i
3.68626646023006+0i,1.5608895891367+0i,-6.24311165774964+0i,-0.0119387661342572+0i,-0.0842510982356706,0.0467207855827158,-0.085529634982255+0i,-0.0518139126085092+0i
3.7408897065678+0i,1.5607713763576+0i,-6.36693348425344+0i,-0.0501373969931753+0i,-0.0412485940329308,0.0182075858136324,-0.0825732324708757+0i,-0.0564062166725506+0i
3.74258957749783+0i,1.56061468287472+0i,-6.5432682971679+0i,-0.0427584017726881+0i,-0.0938575829855741,0.0639254941683278,-0.0824772299288832+0i,-0.0565464989478406+0i
3.76457453458189+0i,1.56060192970333+0i,-6.66245216579193+0i,-0.180788617179073+0i,-0.0379696423055111,-0.0796842691591572,-0.0812142263185193+0i,-0.0583459462472272+0i
3.85535043676847+0i,1.56053159965427+0i,-6.78714895311456+0i,-0.297674274893072+0i,-0.0491060795833917,-0.051417765556993,-0.0755907077392361+0i,-0.0654678921570062+0i
3.8369993839624+0i,1.56035651101047+0i,-6.88789357299481+0i,-0.294309127475624+0i,-0.023965302474112,0.0674349251495974,-0.0767793174061411+0i,-0.0640697777321495+0i
3.86415251910875+0i,1.56037538312637+0i,-7.0072513466416+0i,-0.363940651378879+0i,-0.044346240482587,-0.0035008208043471,-0.0750115331642018+0i,-0.0661307030989075+0i
3.99044058743896+0i,1.56032562282005+0i,-7.12096212833997+0i,-0.414174255593615+0i,-0.047625958454907,0.0248183520347821,-0.066084823243468+0i,-0.0750519562495182+0i
3.95400181441365+0i,1.56024750444442+0i,-7.22192676967605+0i,-0.439600641958368+0i,-0.0321894903949538,0.0471682319827929,-0.0687751509411222+0i,-0.072594618347546+0i
3.96513054757272+0i,1.56023986670543+0i,-7.29191961390889+0i,-0.527407226046396+0i,-0.00202982156487508,-0.0144510965643672,-0.0679630226679632+0i,-0.0733554875236606+0i
3.97199503883314+0i,1.56022522107334+0i,-7.42139303230372+0i,-0.552338553808012+0i,-0.0620155411199232,0.0488889593792751,-0.0674578772749067+0i,-0.0738202871408912+0i
3.98704488815226+0i,1.56021284141687+0i,-7.4782912483516+0i,-0.668408866992999+0i,0.00944107957591234,-0.0412431933945043,-0.0663392956237907+0i,-0.0748271197904831+0i
4.03275188436406+0i,1.56019911152701+0i,-7.5268314175335+0i,-0.724032950956169+0i,0.0143109106565915,0.0221560019401947,-0.0628510798384981+0i,-0.0777800859033644+0i
4.06676703289774+0i,1.56020626172478+0i,-7.58888897684837+0i,-0.830631226003965+0i,-0.00188802728521908,-0.0267257051922252,-0.0601695320296482+0i,-0.0798725698555714+0i
3.98751809481224+0i,1.56021882869936+0i,-7.62485014758515+0i,-0.914740696360649+0i,0.0303427087694002,-0.0092509667486792,-0.0663038795061822+0i,-0.0748585036080049+0i
4.02708728992024+0i,1.56016756325358+0i,-7.71885310340163+0i,-1.04352703897614+0i,-0.0307122940601947,-0.0513635285717465,-0.0632906617562799+0i,-0.0774228140437441+0i
3.96143559469929+0i,1.56016228818563+0i,-7.77240277053086+0i,-1.13242332011297+0i,0.0146839360533328,-0.0157924139564639,-0.0682336031825612+0i,-0.0731038671803672+0i
4.02053383676831+0i,1.5601388186465+0i,-7.81607494506849+0i,-1.19847563154097+0i,0.020124511280692,0.0109540706360805,-0.063796685818322+0i,-0.0770063820640751+0i
3.97532335105994+0i,1.56013875787648+0i,-7.80781387576037+0i,-1.30228117112249+0i,0.0754728764349253,-0.0297611408551591,-0.0672118071268081+0i,-0.0740443987263638+0i
3.96763968094423+0i,1.56012048881973+0i,-7.88153856004762+0i,-1.39644712604041+0i,-0.00594593406688371,-0.0206401701987853,-0.0677787502203682+0i,-0.0735257847191374+0i
3.99046780977531+0i,1.56010724880848+0i,-7.87048958097021+0i,-1.42014608201257+0i,0.0771317592067939,0.0513547992328413,-0.0660827801293852+0i,-0.0750537552049951+0i
3.9995612853684+0i,1.56010686923666+0i,-7.92606633840015+0i,-1.47272385033445+0i,0.00982080039779154,0.0230737976246855,-0.0653975578277317+0i,-0.0756515659465717+0i
3.96524282931994+0i,1.56010000109113+0i,-8.00500701494986+0i,-1.50778039644656+0i,-0.0109858907924492,0.038306571956068,-0.0679547857572616+0i,-0.0733631180681729+0i
4.01462941726326+0i,1.56008858225038+0i,-8.03489948307752+0i,-1.56863513399443+0i,0.0343577809908855,0.0157736220078744,-0.0642502491185426+0i,-0.0766283595557495+0i
4.06585153345982+0i,1.56008845285468+0i,-8.07222458468023+0i,-1.62239525086437+0i,0.0229175284943066,0.0260573343484082,-0.0602426300970209+0i,-0.079817451218349+0i
4.11005867565382+0i,1.56011634337865+0i,-8.0802229821677+0i,-1.69240947839038+0i,0.0486580247173651,0.0123875310896121,-0.0566564222048339+0i,-0.0824017586156242+0i
4.12780136195491+0i,1.56016344986394+0i,-8.10808293989737+0i,-1.78510078592244+0i,0.0273255950591031,-0.00929733434815239,-0.055185552788777+0i,-0.0833939731839004+0i
4.07177693830752+0i,1.56018144753588+0i,-8.17802766314724+0i,-1.88850594147102+0i,-0.0101760986666606,-0.0232321456547885,-0.0597686245832125+0i,-0.0801730098937979+0i
3.96583343940281+0i,1.56009257222381+0i,-8.23254262256765+0i,-1.96214702015163+0i,0.0133964854901285,-0.000237838628391551,-0.0679114449105355+0i,-0.0734032400522164+0i
3.93573047487867+0i,1.56003195116026+0i,-8.2632625017732+0i,-2.10477679458876+0i,0.0393701191633022,-0.071303817530445,-0.0700899983688535+0i,-0.0713259569066838+0i
3.93904078224679+0i,1.56002475347296+0i,-8.27623757685471+0i,-2.21651566006239+0i,0.0568784288504014,-0.0401812803520363,-0.0698535039319125+0i,-0.0715575851215949+0i
3.91970545467859+0i,1.56001256707672+0i,-8.34199305870447+0i,-2.30523367220418+0i,0.00546846809151802,-0.0185243589047357,-0.0712239499412718+0i,-0.0701936532370499+0i
3.96819288782155+0i,1.5600088588181+0i,-8.46935353030139+0i,-2.46058307331546+0i,-0.0596224067156788,-0.0817861319741374,-0.0677380648812448+0i,-0.0735632691371467+0i
4.0154968622738+0i,1.55997011408574+0i,-8.57221144675841+0i,-2.63614649637426+0i,-0.0386741623911933,-0.0988793587819348,-0.0641837540658194+0i,-0.0766840642768653+0i
3.97761101842741+0i,1.55995661699546+0i,-8.68434574141688+0i,-2.72336789602066+0i,-0.0450920522124318,-0.0130234365489812,-0.0670422424460468+0i,-0.0741979630974158+0i
3.8974396631771+0i,1.55993022878978+0i,-8.76450517237573+0i,-2.79000385854288+0i,-0.00739034736489752,0.00195456505190017,-0.0727690835939492+0i,-0.0685905275741253+0i
3.92053307318991+0i,1.55994890874379+0i,-8.81121910623013+0i,-2.8714918935095+0i,0.0244518981341963,-0.0112354595165245,-0.0711658319886014+0i,-0.0702525754500869+0i
3.89994080209249+0i,1.55992187460325+0i,-8.8447286010726+0i,-2.895211557386+0i,0.0390878068820906,0.0450526545540429,-0.0725973017245618+0i,-0.0687723184305498+0i
3.87651110492024+0i,1.55993121173002+0i,-8.9544102031464+0i,-2.94264898659271+0i,-0.0354930584311974,0.0196152366030147,-0.0741885436425972+0i,-0.0670526658097234+0i
3.90960092328729+0i,1.55994045940468+0i,-9.00870611923217+0i,-2.98352429297848+0i,0.0176336597514359,0.0285950910499741,-0.0719295758372037+0i,-0.0694703974357421+0i
