Alpha_0_25__Dr_0_1__H_0_75,Alpha_0_25__Dr_0_5__H_0_75,Alpha_0_25__Dr_0__H_0_75,Alpha_0_25__Dr_100__H_0_75,Alpha_0_25__Dr_10__H_0_75,Alpha_0_25__Dr_1__H_0_75,Alpha_0_25__Dr_5__H_0_75
0,0,0,0,0,0,0
0.106329701683031,0.109876650522502,0.107080756034473,0.105330448101668,0.111815920222671,0.110247496352355,0.113900315316014
0.213536424999571,0.221604347315141,0.216405415575171,0.213139205079175,0.230153001459551,0.219387265744448,0.219361501520689
0.324021528310844,0.333412841783995,0.326003816485889,0.325896376519411,0.341408440957154,0.327340808610874,0.333523813741837
0.436870371995441,0.447653711451263,0.432094111595491,0.433057550159999,0.451279773781005,0.439391203526971,0.441448196644637
0.540701783225392,0.555079659653014,0.541459117686348,0.545460146034493,0.562592990881808,0.546356741132136,0.549654791259569
0.650741388324534,0.670176769149009,0.652704244109691,0.658443503470482,0.670856685108455,0.651675417866905,0.660621971914304
0.762605211684133,0.782604529932268,0.762678296499787,0.766004806304278,0.781679841673068,0.763430782838338,0.766491864012653
0.874646101089788,0.894029041628367,0.873540764468034,0.877796921494412,0.892267738097699,0.87200157088397,0.877997486231445
0.982627004152848,1.00544972538978,0.981901806735342,0.982480589717773,1.00653369556526,0.984598832810309,0.986061709194503
1.09430762212603,1.11264539712532,1.08799684657311,1.08878880129483,1.1165968224304,1.09385138519628,1.10017839613514
1.20154227211049,1.22242155328649,1.19315710895777,1.19564172668661,1.22534514483048,1.2086614812828,1.21022245379546
1.31221988109673,1.33721410628604,1.3027970935116,1.31016802688392,1.34029007380388,1.32137074217907,1.32400170353662
1.42501807335704,1.45011257948844,1.41069434402204,1.42103301992263,1.45312165121502,1.4418248856489,1.43304018094853
1.53433401050435,1.56152003890478,1.51847306702238,1.53652891632644,1.56780786182481,1.55648002890239,1.54524661112276
1.64412566275812,1.67128948530521,1.62713910563319,1.65468319642814,1.67843265394208,1.66674943721963,1.65988268649859
1.75815272224416,1.77976672582387,1.73686637337803,1.76599884496152,1.78947815961358,1.77353719801785,1.77374398276585
1.86505772497279,1.89028554313015,1.84661349846135,1.88100242102935,1.90140589290469,1.88060774041323,1.88715849179006
1.9733041308665,2.00585609577633,1.95942201038846,1.99025345497429,2.0104661468727,1.99407874135313,1.99649916054332
2.08644679043826,2.11971515251953,2.0719910134468,2.10073121299214,2.12141933306974,2.10702378143281,2.10667710499623
2.20059067870148,2.22983909918611,2.18541363228789,2.2092440414128,2.23379657724126,2.21597504498891,2.21865035848288
2.31181157343454,2.33776417063187,2.2966307203553,2.32068903801342,2.34189925257461,2.32373277435047,2.32865086761985
2.42836107424396,2.45038288557399,2.41154425026487,2.43228902249065,2.45079460475421,2.43680967137265,2.43387239126181
2.540550400337,2.55990847734511,2.52130795654423,2.54121041393254,2.56030465457345,2.54660426434765,2.54505042850587
2.65449938448632,2.6697826679876,2.63164122060775,2.65023165751141,2.66903225347514,2.65625196407196,2.65257781187848
2.76360211868851,2.77814030322775,2.73766968398723,2.76235105459966,2.77455448743039,2.77110854679647,2.76568950395865
2.8715331421858,2.8882467134124,2.84658436683773,2.86903579148323,2.88501745448336,2.88412843487268,2.87751544610388
2.98299706547265,3.00021398293895,2.95135440099713,2.97929578194071,2.99595591912768,3.00001565397144,2.98831974337453
3.0905564078081,3.10610294229566,3.05990379747856,3.09062325395251,3.10777422906989,3.10718915915783,3.0990480234618
3.20049256711213,3.2154024731605,3.16897831692631,3.20051567454147,3.21757498032433,3.21955230736579,3.21124075817695
3.3107058967902,3.32614250936179,3.27847124289854,3.31278560868772,3.33105776795958,3.33157180328846,3.31814715830879
3.41579202338096,3.43428004156335,3.38449500499952,3.42503605690717,3.43679966461473,3.44316868450096,3.4311016618722
3.52333628844157,3.54304784832828,3.49407293971549,3.53493005116094,3.53910411044461,3.55266357417432,3.54068005523059
3.63045539870246,3.65797105314106,3.60188880657666,3.64414516511144,3.64700995031936,3.66514584768927,3.65039396277249
3.73412319905845,3.77017785665135,3.70369801526971,3.75509097353319,3.76086934252589,3.77129895936144,3.76087033272995
3.84173001898152,3.88276367459715,3.81202908085454,3.86349759507324,3.87249120241175,3.88205039538391,3.87204744878256
3.95256619297817,3.99382722271994,3.9194006449231,3.97165062823878,3.98822204313662,3.99492119002985,3.98546324220438
4.05943150247551,4.10654426986775,4.03107775639983,4.0811239512647,4.10077728129015,4.1050293639088,4.09609270514735
4.16604068500029,4.21878053881188,4.14394989132322,4.18514164685038,4.21321974553054,4.21773043593784,4.20030200361632
4.27513871468306,4.32526464933466,4.25428115059973,4.29106077806422,4.32648751660326,4.32712249238169,4.31158902634091
4.38122235630943,4.43484753838256,4.36182898152268,4.40121776060074,4.43669618830515,4.44179715579758,4.42212608619818
4.4887987874011,4.54468051977963,4.47039110082112,4.50702148155735,4.54522662633856,4.5532866746683,4.53058804444348
4.60038408613988,4.65558381167382,4.58006691610434,4.6168955984963,4.65974260222001,4.65971417650521,4.64321521151109
4.71401132360903,4.76273170838625,4.68451544174683,4.72915338134898,4.77155514113181,4.7688174284883,4.75216246073518
4.82867788003549,4.87156804230878,4.79427783984424,4.84058141004775,4.88015970241667,4.88039143369627,4.8620930879876
4.94111832063526,4.97846607093004,4.90460223739868,4.95098286770825,4.98962976312741,4.99246682363772,4.97363256600701
